Question,Numbers,Equation,Answer,group_nums,Body,Ques_Statement,q_conv,q_papago,q_ko,group_nums_ko
"There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives , how many lives did they have total ?",2.0 2.0 8.0,* number2 + number0 number0,32.0,"[1, 2, 3, 9, 10, 11, 20, 21, 22, 28, 29, 30]","There were number0 friends playing a video game online when number1 more players joined the game . If each player had number2 lives ,",how many lives did they have total ?,"There were 3730 friends playing a video game online when 3731 more players joined the game . If each player had 3732 lives , how many lives did they have total ?","3731명의 더 많은 선수들이 게임에 참여했을 때, 3730명의 친구들이 온라인으로 비디오 게임을 하고 있었다. 만약 각 선수가 3732명의 생명을 가졌다면, 그들은 총 몇명의 생명을 가졌는가?","number1명의 더 많은 선수들이 게임에 참여했을 때 , number0명의 친구들이 온라인으로 비디오 게임을 하고 있었다 . 만약 각 선수가 number2명의 생명을 가졌다면 , 그들은 총 몇명의 생명을 가졌는가 ?","[0, 1, 7, 8, 9, 18, 19, 20, 25, 26, 27]"
"Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another , how many trips will he make ?",8.0 9.0 7.0,/ + number1 number2 number0,2.0,"[15, 16, 17, 27, 28, 29, 33, 34, 35, 42, 43, 44]","Jerry was helping the cafeteria workers pick up lunch trays , but he could only carry number0 trays at a time . If he had to pick up number1 trays from one table and number2 trays from another ,",how many trips will he make ?,"Anderson was helping the cafeteria workers pick up lunch trays , but he could only carry 3730 trays at a time . If he had to pick up 3731 trays from one table and 3732 trays from another , how many trips will he make ?","Anderson은 카페테리아 일꾼들이 점심 쟁반을 집는 것을 돕고 있었습니다, 그러나 그는 한 번에 3730개의 쟁반만 운반할 수 있었습니다. 만약 그가 한 테이블로부터 3731개의 트레이와 다른 테이블로부터 3732개의 트레이를 집어야 한다면, 그는 얼마나 많은 여행을 할 것인가?","지훈은 카페테리아 일꾼들이 점심 쟁반을 집는 것을 돕고 있었습니다 , 그러나 그는 한 번에 number0개의 쟁반만 운반할 수 있었습니다 . 만약 그가 한 테이블로부터 number1개의 트레이와 다른 테이블로부터 number2개의 트레이를 집어야 한다면 , 그는 얼마나 많은 여행을 할 것인가 ?","[13, 14, 15, 23, 24, 25, 27, 28, 29, 36, 37, 38]"
"Kaleb was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it , how many cans did he pick up total ?",4.0 6.0 4.0,* number0 + number0 number1,40.0,"[10, 11, 12, 18, 19, 20, 26, 27, 28, 37, 38, 39]","Kaleb was collecting cans for recycling . On Saturday he filled number0 bags up and on Sunday he filled number1 more bags . If each bag had number2 cans in it ,",how many cans did he pick up total ?,"Anderson was collecting cans for recycling . On Saturday he filled 3730 bags up and on Sunday he filled 3731 more bags . If each bag had 3732 cans in it , how many cans did he pick up total ?","앤더슨은 재활용을 위해 깡통을 모으고 있었다. 토요일 그는 3730개의 가방을 채웠고 일요일에는 3731개의 가방을 더 채웠다. 만약 각각의 가방이 3732개의 깡통을 가지고 있다면, 그는 총 몇개의 깡통을 집었는가?","지훈은 재활용을 위해 깡통을 모으고 있었다 . 토요일 그는 number0개의 가방을 채웠고 일요일에는 number1개의 가방을 더 채웠다 . 만약 각각의 가방이 number2개의 깡통을 가지고 있다면 , 그는 총 몇개의 깡통을 집었는가 ?","[8, 9, 10, 12, 13, 14, 20, 21, 22, 28, 29, 30]"
"The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player . How tall is the shortest player , in inches ?",77.75 9.5,- number0 number1,68.25,"[7, 8, 9, 13, 14, 15, 28, 29, 30]",The tallest player on the basketball team is number0 inches tall . This is number1 inches taller than the shortest player .,"How tall is the shortest player , in inches ?","The tallest player on the basketball team is 3730 inches tall . This is 3731 inches taller than the shortest player . How tall is the shortest player , in inches ?",농구팀에서 가장 키가 큰 선수는 3730인치이다. 이것은 키가 가장 작은 선수보다 3731인치 더 크다. 키가 가장 작은 선수는 몇 인치입니까?,농구팀에서 가장 키가 큰 선수는 number0인치이다 . 이것은 키가 가장 작은 선수보다 number1인치 더 크다 . 키가 가장 작은 선수는 몇 인치입니까 ?,"[4, 5, 6, 11, 12, 13, 19, 20, 21]"
A restaurant served number0 cakes during lunch and number1 during dinner today . The restaurant served number2 cakes yesterday . How many cakes were served in total ?,5.0 6.0 3.0,+ + number0 number1 number2,14.0,"[2, 3, 4, 7, 8, 9, 15, 16, 17, 24, 25, 26]",A restaurant served number0 cakes during lunch and number1 during dinner today . The restaurant served number2 cakes yesterday .,How many cakes were served in total ?,A restaurant served 3730 cakes during lunch and 3731 during dinner today . The restaurant served 3732 cakes yesterday . How many cakes were served in total ?,"한 레스토랑은 오늘 점심에는 3730개의 케익을, 저녁에는 3731개의 케익을 제공했습니다. 그 레스토랑은 어제 3732개의 케이크를 제공했습니다. 총 몇 개의 케이크가 제공되었나요?","한 레스토랑은 오늘 점심에는 number0개의 케익을 , 저녁에는 number1개의 케익을 제공했습니다 . 그 레스토랑은 어제 number2개의 케이크를 제공했습니다 . 총 몇 개의 케이크가 제공되었나요 ?","[3, 4, 5, 7, 8, 9, 14, 15, 16, 21, 22, 23]"
Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was number0 inches long and the orange caterpillar was number1 inches long . How much longer was the green caterpillar than the orange caterpillar ?,3.0 1.1666666666666667,- number0 number1,1.8333333333333333,"[16, 17, 18, 24, 25, 26, 37, 38, 39]",Nicole found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was number0 inches long and the orange caterpillar was number1 inches long .,How much longer was the green caterpillar than the orange caterpillar ?,Anderson found an orange caterpillar and a green caterpillar in her backyard . The green caterpillar was 3730 inches long and the orange caterpillar was 3731 inches long . How much longer was the green caterpillar than the orange caterpillar ?,앤더슨은 그녀의 뒷마당에서 오렌지색 애벌레와 녹색 애벌레를 발견했습니다. 녹색 애벌레는 3730인치였고 오렌지색 애벌레는 3731인치였습니다. 녹색 애벌레가 오렌지 애벌레보다 얼마나 더 길었나요?,지현은 그녀의 뒷마당에서 오렌지색 애벌레와 녹색 애벌레를 발견했습니다 . 녹색 애벌레는 number0인치였고 오렌지색 애벌레는 number1인치였습니다 . 녹색 애벌레가 오렌지 애벌레보다 얼마나 더 길었나요 ?,"[10, 11, 12, 13, 14, 15, 20, 21, 22]"
Sam had number0 dimes in his bank . His dad gave him number1 more dimes . How many dimes does Sam have now ?,9.0 7.0,+ number0 number1,16.0,"[1, 2, 3, 11, 12, 13, 20, 21, 22]",Sam had number0 dimes in his bank . His dad gave him number1 more dimes .,How many dimes does Sam have now ?,Anderson had 3730 dimes in his bank . His dad gave him 3731 more dimes . How many dimes does Anderson have now ?,앤더슨은 그의 은행에 3730 dimes를 가지고 있었다. 그의 아버지는 그에게 3731d를 더 주었다. 앤더슨은 지금 몇 개의 주사위를 가지고 있습니까?,지훈은 그의 은행에 number0 dimes를 가지고 있었다 . 그의 아버지는 그에게 number1d를 더 주었다 . 지훈은 지금 몇 개의 주사위를 가지고 있습니까 ?,"[2, 3, 4, 10, 11, 12, 19, 20, 21]"
A recipe calls for number0 cups of sugar . You find that you only have number1 cups of sugar left . What fraction of the recipe can you make ?,2.0 0.3333,/ number1 number0,0.165,"[3, 4, 5, 14, 15, 16, 26, 27, 28]",A recipe calls for number0 cups of sugar . You find that you only have number1 cups of sugar left .,What fraction of the recipe can you make ?,A recipe calls for 3730 cups of sugar . You find that you only have 3731 cups of sugar left . What fraction of the recipe can you make ?,레시피는 3730컵의 설탕을 요구한다. 당신은 단지 3731컵의 설탕이 남아있다는 것을 발견한다. 당신은 요리법의 몇 부분을 만들 수 있습니까?,레시피는 number0컵의 설탕을 요구한다 . 당신은 단지 number1컵의 설탕이 남아있다는 것을 발견한다 . 당신은 요리법의 몇 부분을 만들 수 있습니까 ?,"[0, 1, 2, 6, 7, 8, 17, 18, 19]"
"Carol and her mom were picking carrots from their garden . Carol picked number0 and her mother picked number1 . If only number2 of the carrots were good , how many bad carrots did they have ?",29.0 16.0 38.0,- + number0 number1 number2,7.0,"[12, 13, 14, 17, 18, 19, 21, 22, 23, 33, 34, 35]","Carol and her mom were picking carrots from their garden . Carol picked number0 and her mother picked number1 . If only number2 of the carrots were good ,",how many bad carrots did they have ?,"Anderson and her mom were picking carrots from their garden . Anderson picked 3730 and her mother picked 3731 . If only 3732 of the carrots were good , how many bad carrots did they have ?","앤더슨과 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다. 앤더슨은 3730을 골랐고 그녀의 엄마는 3731을 골랐다. 만약 단지 3732의 당근이 좋았다면, 그들은 얼마나 많은 나쁜 당근을 가지고 있었는가?","정현과 그녀의 엄마는 그들의 정원에서 당근을 따고 있었다 . 정현은 number0을 골랐고 그녀의 엄마는 number1을 골랐다 . 만약 단지 number2의 당근이 좋았다면 , 그들은 얼마나 많은 나쁜 당근을 가지고 있었는가 ?","[9, 10, 11, 13, 14, 15, 18, 19, 20, 27, 28, 29]"
Mrs. Hilt and her sister drove to a concert number0 miles away . They drove number1 miles and then stopped for gas . Her sister put number2 gallons of gas in the car . How many miles did they have left to drive ?,78.0 32.0 28.0,- number0 number1,46.0,"[8, 9, 10, 14, 15, 16, 25, 26, 27, 42, 43, 44]",Mrs. Hilt and her sister drove to a concert number0 miles away . They drove number1 miles and then stopped for gas . Her sister put number2 gallons of gas in the car .,How many miles did they have left to drive ?,Mrs. Anderson and her sister drove to a concert 3730 miles away . They drove 3731 miles and then stopped for gas . Her sister put 3732 gallons of gas in the car . How many miles did they have left to drive ?,앤더슨 부인과 그녀의 여동생은 3730마일 떨어진 콘서트에 차를 몰았다. 그들은 3731마일을 운전했고 그리고 나서 가스를 위해 멈췄다. 그녀의 여동생은 차에 3732갤런의 가스를 넣었다. 그들은 운전할 수 있는 거리가 몇 마일이나 남았습니까?,지민 부인과 그녀의 여동생은 number0마일 떨어진 콘서트에 차를 몰았다 . 그들은 number1마일을 운전했고 그리고 나서 가스를 위해 멈췄다 . 그녀의 여동생은 차에 number2갤런의 가스를 넣었다 . 그들은 운전할 수 있는 거리가 몇 마일이나 남았습니까 ?,"[3, 4, 5, 10, 11, 12, 21, 22, 23, 31, 32, 33]"
"John made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week , how long would the money last him ?",6.0 18.0 3.0,/ + number0 number1 number2,8.0,"[1, 2, 3, 6, 7, 8, 15, 16, 17, 25, 26, 27]","John made number0 dollars mowing lawns and number1 dollars weed eating . If he only spent number2 dollar a week ,",how long would the money last him ?,"Anderson made 3730 dollars mowing lawns and 3731 dollars weed eating . If he only spent 3732 dollar a week , how long would the money last him ?","앤더슨은 잔디 깎는 3730달러와 잡초를 먹는 3731달러를 벌었다. 만약 그가 일주일에 3732달러만 쓴다면, 그 돈은 얼마나 오래 지속될까요?","서희는 잔디 깎는 number0달러와 잡초를 먹는 number1달러를 벌었다 . 만약 그가 일주일에 number2달러만 쓴다면 , 그 돈은 얼마나 오래 지속될까요 ?","[2, 3, 4, 5, 6, 7, 11, 12, 13, 17, 18, 19]"
"A study reported that in a random sampling of number0 women over the age of number1 , number2 of the women were married number3 or more times . Based on the study results , how many woman in a group of number4 women over the age of number5 would likely be married number6 or more times ?",100.0 35.0 8.0 2.0 5000.0 35.0 2.0,* / number2 number0 number4,400.0,"[8, 9, 10, 11, 14, 15, 16, 17, 16, 17, 18, 19, 22, 23, 24, 25]","A study reported that in a random sampling of number0 women over the age of number1 , number2 of the women were married number3 or more times . Based on the study results ,",how many woman in a group of number4 women over the age of number5 would likely be married number6 or more times ?,"A study reported that in a random sampling of 3730 women over the age of 3731 , 3732 of the women were married 3733 or more times . Based on the study results , how many woman in a group of 3734 women over the age of 3735 would likely be married 3736 or more times ?","한 연구는 3731세 이상의 여성 3730명의 무작위 표본 추출에서, 3732명의 여성이 3733번 혹은 그 이상 결혼했다고 보고했습니다. 연구 결과에 근거해서, 3735세 이상의 여성 3734명의 그룹에서 얼마나 많은 여성이 3736번 혹은 그 이상 결혼했을 것 같습니까?","한 연구는 number1세 이상의 여성 number0명의 무작위 표본 추출에서 , number2명의 여성이 number3번 혹은 그 이상 결혼했다고 보고했습니다 . 연구 결과에 근거해서 , number5세 이상의 여성 number4명의 그룹에서 얼마나 많은 여성이 number6번 혹은 그 이상 결혼했을 것 같습니까 ?","[1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 22, 23, 24, 25, 26, 27, 30, 31, 32, 35, 36, 37]"
Elizabeth went to the salon and had number0 inch of hair cut off . The next day she went back and asked for another number1 inch to be cut off . How much hair did she have cut off in all ?,0.375 0.5,+ number0 number1,0.875,"[6, 7, 8, 23, 24, 25, 38, 39, 40]",Elizabeth went to the salon and had number0 inch of hair cut off . The next day she went back and asked for another number1 inch to be cut off .,How much hair did she have cut off in all ?,Anderson went to the salon and had 3730 inch of hair cut off . The next day she went back and asked for another 3731 inch to be cut off . How much hair did she have cut off in all ?,앤더슨은 미용실에 가서 3730인치의 머리를 잘랐다. 다음날 그녀는 돌아가서 3731인치를 더 잘라달라고 부탁했다. 그녀는 모두 얼마나 많은 머리카락을 잘라냈는가?,지현은 미용실에 가서 number0인치의 머리를 잘랐다 . 다음날 그녀는 돌아가서 number1인치를 더 잘라달라고 부탁했다 . 그녀는 모두 얼마나 많은 머리카락을 잘라냈는가 ?,"[2, 3, 4, 9, 10, 11, 18, 19, 20]"
number0 people are watching a movie in a theater . The theater has number1 seats . How many seats are empty in the theater ?,532.0 750.0,- number1 number0,218.0,"[0, 1, 12, 13, 14, 21, 22, 23]",number0 people are watching a movie in a theater . The theater has number1 seats .,How many seats are empty in the theater ?,3730 people are watching a movie in a theater . The theater has 3731 seats . How many seats are empty in the theater ?,3730명의 사람들이 극장에서 영화를 보고 있다. 그 극장은 3731석이다. 극장에 빈 좌석이 몇 개 있습니까?,number0명의 사람들이 극장에서 영화를 보고 있다 . 그 극장은 number1석이다 . 극장에 빈 좌석이 몇 개 있습니까 ?,"[0, 1, 8, 9, 10, 14, 15, 16]"
Roden went to a pet shop . He bought number0 gold fish and number1 blue fish . How many fish did he buy ?,15.0 7.0,+ number0 number1,22.0,"[8, 9, 10, 12, 13, 14, 20, 21, 22]",Roden went to a pet shop . He bought number0 gold fish and number1 blue fish .,How many fish did he buy ?,Anderson went to a pet shop . He bought 3730 gold fish and 3731 blue fish . How many fish did he buy ?,Anderson은 애완동물 가게에 갔다. 그는 3730개의 금붕어와 3731개의 푸른 물고기를 샀다. 그는 얼마나 많은 생선을 샀니?,유나는 애완동물 가게에 갔다 . 그는 number0개의 금붕어와 number1개의 푸른 물고기를 샀다 . 그는 얼마나 많은 생선을 샀니 ?,"[5, 6, 7, 8, 9, 15, 16, 17]"
Sandy sold lemonade in her neighborhood . She got number0 half - dollars on Saturday and number1 half - dollars on Sunday . What amount of money did Sandy receive ?,17.0 6.0,+ * number0 0.5 * number1 0.5,11.5,"[8, 9, 10, 15, 16, 17, 27, 28, 29]",Sandy sold lemonade in her neighborhood . She got number0 half - dollars on Saturday and number1 half - dollars on Sunday .,What amount of money did Sandy receive ?,Anderson sold lemonade in her neighborhood . She got 3730 half - dollars on Saturday and 3731 half - dollars on Sunday . What amount of money did Anderson receive ?,"앤더슨은 그녀의 이웃에서 레모네이드를 팔았다. 그녀는 토요일에 3730달러 반, 일요일에 3731달러 반을 받았다. 앤더슨은 얼마의 돈을 받았습니까?","서희는 그녀의 이웃에서 레모네이드를 팔았다 . 그녀는 토요일에 number0달러 반 , 일요일에 number1달러 반을 받았다 . 서희는 얼마의 돈을 받았습니까 ?","[7, 8, 9, 11, 12, 13, 17, 18, 19]"
A chocolate chip cookie recipe calls for number0 cups of chocolate chips . You want to make number1 recipes for a bake sale . How many cups of chocolate chips will be needed to make all the cookie recipes ?,2.0 23.0,* number0 number1,46.0,"[6, 7, 8, 16, 17, 18, 38, 39, 40]",A chocolate chip cookie recipe calls for number0 cups of chocolate chips . You want to make number1 recipes for a bake sale .,How many cups of chocolate chips will be needed to make all the cookie recipes ?,A chocolate chip cookie recipe calls for 3730 cups of chocolate chips . You want to make 3731 recipes for a bake sale . How many cups of chocolate chips will be needed to make all the cookie recipes ?,초콜릿 칩 쿠키 레시피는 3730컵의 초콜릿 칩을 요구한다. 당신은 베이크 세일을 위해 3731개의 레시피를 만들고 싶어한다. 모든 쿠키 조리법을 만들기 위해 몇 컵의 초콜릿 칩이 필요할까요?,초콜릿 칩 쿠키 레시피는 number0컵의 초콜릿 칩을 요구한다 . 당신은 베이크 세일을 위해 number1개의 레시피를 만들고 싶어한다 . 모든 쿠키 조리법을 만들기 위해 몇 컵의 초콜릿 칩이 필요할까요 ?,"[3, 4, 5, 12, 13, 14, 25, 26, 27]"
"Alyssa has number0 blue balloons , Sandy has number1 blue balloons , and Sally has number2 blue balloons . How many blue balloons do they have in all ?",37.0 28.0 39.0,+ + number0 number1 number2,104.0,"[1, 2, 3, 7, 8, 9, 14, 15, 16, 25, 26, 27]","Alyssa has number0 blue balloons , Sandy has number1 blue balloons , and Sally has number2 blue balloons .",How many blue balloons do they have in all ?,"Anderson has 3730 blue balloons , Cyndia has 3731 blue balloons , and Fred has 3732 blue balloons . How many blue balloons do they have in all ?","앤더슨은 3730개의 파란색 풍선을 가지고 있고, 신디아는 3731개의 파란색 풍선을 가지고 있고, 프레드는 3732개의 파란색 풍선을 가지고 있습니다. 그들은 모두 몇 개의 파란 풍선을 가지고 있나요?","정현은 number0개의 파란색 풍선을 가지고 있고 , 서희는 number1개의 파란색 풍선을 가지고 있고 , 지민은 number2개의 파란색 풍선을 가지고 있습니다 . 그들은 모두 몇 개의 파란 풍선을 가지고 있나요 ?","[0, 1, 2, 7, 8, 9, 14, 15, 16, 26, 27, 28]"
"At the schools book fair Sam bought number0 adventure books and number1 mystery books . If number2 of the books were used , how many new books did he buy ?",13.0 17.0 15.0,- + number0 number1 number2,15.0,"[6, 7, 8, 10, 11, 12, 15, 16, 17, 27, 28, 29]","At the schools book fair Sam bought number0 adventure books and number1 mystery books . If number2 of the books were used ,",how many new books did he buy ?,"At the schools book fair Anderson bought 3730 adventure books and 3731 mystery books . If 3732 of the books were used , how many new books did he buy ?","학교 도서 박람회에서 Anderson은 3730권의 모험책과 3731권의 추리책을 샀습니다. 만약 3732권의 책이 사용된다면, 그는 얼마나 많은 새로운 책을 샀습니까?","학교 도서 박람회에서 지현은 number0권의 모험책과 number1권의 추리책을 샀습니다 . 만약 number2권의 책이 사용된다면 , 그는 얼마나 많은 새로운 책을 샀습니까 ?","[3, 4, 5, 6, 7, 10, 11, 12, 18, 19, 20]"
Fred has number0 baseball cards . Keith bought number1 of Fred 's baseball cards . How many baseball cards does Fred have now ?,40.0 22.0,- number0 number1,18.0,"[1, 2, 3, 7, 8, 9, 22, 23, 24]",Fred has number0 baseball cards . Keith bought number1 of Fred 's baseball cards .,How many baseball cards does Fred have now ?,Anderson has 3730 baseball cards . Cyndia bought 3731 of Anderson 's baseball cards . How many baseball cards does Anderson have now ?,앤더슨은 3730장의 야구 카드를 가지고 있다. 신디아는 앤더슨의 야구 카드 3731장을 샀다. 앤더슨은 지금 몇 개의 야구 카드를 가지고 있습니까?,윤재는 number0장의 야구 카드를 가지고 있다 . 민우는 윤재의 야구 카드 number1장을 샀다 . 윤재는 지금 몇 개의 야구 카드를 가지고 있습니까 ?,"[0, 1, 2, 10, 11, 12, 19, 20, 21]"
